10868,35063,32427,23564,42120,26547,46083
16498,24944,39301,47898,15375,21855,43455
27119,45910,39217,13628,16823,40747,39480
45504,10830,16099,13966,26097,34125,30767
44708,22139,10949,34812,18259,18459,49333
20782,10631,26033,42490,30118,35100,37552
45418,26488,41596,36158,12225,20129,41032
14512,34235,49627,16249,39514,31595,33282
45634,19973,34311,25986,18250,31431,22860
11805,15058,11558,46160,17417,18062,40256
13995,16756,21588,47288,39570,36609,35936
13624,45726,33481,21365,27846,25686,22833
30463,36914,12866,28037,32765,46322,26072
49556,29440,18792,41030,41632,18497,25422
17275,10583,44350,46792,16130,39934,46102
18209,18267,40539,39947,27213,21783,42730
14598,21351,23037,37245,26524,31321,10312
49157,35395,44297,13795,38772,22358,25622
19658,15206,27175,32160,26479,46822,21422
20532,44469,17900,10135,13129,33228,23952
34367,41717,17839,26079,18866,42830,37278
44627,41168,45538,39978,21313,36869,37364
29929,45343,30982,33519,25684,42381,12985
39835,48070,27122,45368,16618,39750,14536
18875,14683,14592,24735,30829,19227,31771
32762,39807,48651,49308,18390,42543,41534
23463,28899,14430,28102,46091,37473,22644
48988,32944,21843,40192,18646,13680,48589
15485,34433,30887,46892,12058,24228,17905
19818,26014,29407,42327,24571,23681,32642
31701,20320,13738,39198,23639,26856,32138
14574,39712,28350,26957,26997,27260,34864
12095,18175,48108,17430,33619,18829,27481
20226,24065,17296,25599,24994,32533,34446
17999,48135,14802,12290,44799,37237,16912
35736,20788,30275,14363,38048,39990,45606
14369,17770,27000,29421,34827,31720,25380
29598,34984,29179,33974,36877,24448,46564
45024,12791,36890,39822,18719,43801,15033
34833,25754,34920,21287,32211,22518,33180
46070,24140,27746,39244,14549,15992,30447
48434,49207,27239,24101,28713,25781,11646
42590,33386,19839,48165,24522,45014,45194
32038,38990,27281,18982,17553,41992,16262
32969,34603,48506,44841,34370,32967,28561
43781,37457,48207,35325,24056,14479,33572
36919,26907,21678,12872,41428,18150,28727
19258,26757,42401,37056,40996,20063,40101
14708,22099,10087,27795,18678,21130,49090
34525,42140,32899,15945,39399,47524,19420
