43604,24582,42509,19122,24467,26619,43246
39823,44539,25018,44113,41691,26259,16182
34205,44988,29964,36599,20300,34968,48432
36265,13225,22851,33529,25725,12172,15844
46984,47922,48165,48037,36221,11761,33423
19404,44196,42277,41358,49893,36200,40630
30024,32605,48549,11204,40023,13873,13621
24149,44397,11286,37724,19689,16619,40656
10205,33538,17009,32252,19845,18965,32988
32766,11179,33695,17785,43624,28231,45714
45414,11323,34424,16429,48393,29046,47931
25322,16361,34310,24743,26148,46701,31224
48911,25269,43315,38639,31189,10193,48884
38915,31802,15990,14451,10253,45404,10727
29450,12452,38211,43151,10155,23612,39791
17854,28075,23100,30478,10644,17482,18160
24105,33866,27685,21793,40536,39720,46531
15668,21243,46419,49754,20519,19904,18734
46182,28622,40987,15370,23243,25310,10221
38362,21183,35992,26585,18226,29156,39626
22900,29291,42385,13824,30217,44443,22025
28469,48192,38106,33871,40149,33979,38581
34137,32194,29959,32885,20286,29073,25390
28148,11809,17499,16299,38928,46027,40016
24779,18997,12418,43356,45198,17825,41821
46135,27003,37247,34194,33031,24958,43639
22007,47261,34040,35518,49859,30529,49057
30145,38438,35104,14532,45464,19627,21750
34660,24473,27509,14162,30441,12244,29229
44779,14463,27884,27012,18533,44473,37865
39847,36117,10780,18951,49514,11802,36999
16637,24974,25978,37708,18838,26934,36407
23537,26305,38858,14148,20386,37315,31317
29792,35809,20665,16553,29529,39818,11526
11518,25318,37242,13423,16530,44700,20541
17181,42625,25189,48392,41264,49772,28865
35620,17749,13074,14048,12269,45438,47321
37362,49344,27203,22026,39464,27177,26416
33293,20762,33796,34689,20901,26874,35531
33293,43039,17752,18996,32958,47676,13854
31381,11266,33188,28934,46048,27428,29328
28959,33605,23150,15267,49073,46547,34768
45514,42435,42710,21127,32715,26164,21978
42626,22438,41009,30910,36939,37556,38286
39229,38924,18597,41667,17566,18352,24552
49761,30764,20133,40431,47241,42112,24361
46173,10113,48605,26412,37648,35936,10079
10597,34623,48064,35101,16880,25272,27569
46509,17770,33954,43689,10833,11491,21720
28249,33690,12728,18751,25676,16559,19659
37322,20344,25478,43615,23011,42925,45139
29667,28011,28609,31802,37096,41423,40285
43243,45104,49696,27844,15494,19918,31429
25261,45284,15686,27814,21403,14985,45164
44085,37889,37682,21754,31815,46556,16080
20442,21316,13510,33348,12911,17670,12923
45210,15372,24131,20433,35270,41557,30734
15888,42473,34371,14574,41635,21214,41254
39223,25672,37727,39001,17847,38116,15389
49428,12496,30040,44388,44272,13977,43356
33874,13165,46376,24433,25238,40238,34995
43076,17187,43129,42361,48861,37113,46147
36700,13014,25610,19836,36742,16203,45108
11547,49472,21610,38509,41211,20851,36002
49868,11289,22071,35912,17475,32039,30046
21024,26404,22890,42899,30745,11829,31244
30142,21323,20799,11576,36496,22882,14689
25957,30863,23428,19361,47572,45947,10072
13239,44276,36013,20936,16067,26292,25647
41519,17125,10651,45293,47456,46993,37006
19627,39820,14257,20558,18222,25747,44995
11275,49131,39064,26906,16228,35550,47235
21340,34275,17531,21442,46666,24365,20387
37829,21525,43196,29638,15215,48463,18703
14582,15316,15979,22293,31645,41370,49936
34473,36143,15797,21296,35302,31698,36645
11644,29624,49739,41067,44930,40379,13622
10501,17227,38628,49030,32996,13457,20987
23751,11019,21783,15842,15367,21781,13329
46006,20150,43992,20867,42015,29484,29945
27108,33609,46329,45340,10507,12322,14433
42442,47213,48791,27094,43498,22622,36656
27956,10044,24694,38324,24939,24341,40237
17750,43229,12484,34763,25882,39321,44807
48239,30461,44024,42338,20497,23598,48165
26412,24780,43910,19539,28642,34429,24982
44976,22869,40286,19943,39378,11122,25345
28584,35761,47871,18767,25298,44036,10762
27732,37363,36157,38333,10123,38497,32212
21649,25073,17514,24199,41882,17229,46344
27536,39638,47283,31537,12991,11713,36626
40101,33522,19503,36871,20748,20778,23421
29436,12862,40474,16397,48510,21192,33242
21099,18961,11958,31532,47526,14734,48264
47879,44196,22073,15869,12966,36316,44347
39244,35213,27548,12013,35643,28863,13530
15730,20324,16147,24517,39624,16631,13644
24312,38901,16743,32842,46052,10274,11655
27346,15383,45051,14833,15502,21132,41340
16166,31549,43500,47456,48432,25141,35742
